Date,Actual_Regime,Risk_Probability
2026-06-01,1,0.8715045
2026-06-02,1,0.81015766
2026-06-03,1,0.8324304
2026-06-04,1,0.8297585
2026-06-05,1,0.6688717
2026-06-08,1,0.67237693
2026-06-09,1,0.69032544
2026-06-10,1,0.6485242
2026-06-11,1,0.6721434
2026-06-12,1,0.5681569
2026-06-15,1,0.6219985
2026-06-16,1,0.6042037
2026-06-17,1,0.71084136
2026-06-18,1,0.6183006
2026-06-19,1,0.29973653
2026-06-22,1,0.32952616
2026-06-23,1,0.1786455
2026-06-24,1,0.20797622
2026-06-25,1,0.16976888
2026-06-26,1,0.116234675
2026-06-29,0,0.2628017
2026-06-30,0,0.27521616
2026-07-01,0,0.11926788
2026-07-02,0,0.11082758
2026-07-03,0,0.113061965
2026-07-06,0,0.11830011
2026-07-07,0,0.12118401
2026-07-08,0,0.095567085
2026-07-09,0,0.08964397
2026-07-10,0,0.077024676
2026-07-13,0,0.08078651
2026-07-14,0,0.07361022
2026-07-16,0,0.059310045
2026-07-17,0,0.05977722
2026-07-20,0,0.070137754
2026-07-21,0,0.073805705
2026-07-22,0,0.09018348
2026-07-23,0,0.08738105
2026-07-24,0,0.09819627
2026-07-27,0,0.13206665
2026-07-28,0,0.10417754
2026-07-29,0,0.08611683
2026-07-30,0,0.07204902
2026-07-31,1,0.090879574
